evidence_package,representation,classifier,threshold,tp,fp,tn,fn,precision,recall,specificity,f1,balanced_accuracy,mcc,positive_prediction_rate
P-SIGNAL-001,physicochemical_features,logistic_regression,0.480000,211,594,2096,58,0.262112,0.784387,0.779182,0.392924,0.781784,0.364065,0.272051
P-SIGNAL-001,physicochemical_features,logistic_regression,0.490000,210,569,2121,59,0.269576,0.780669,0.788476,0.400763,0.784572,0.371517,0.263265
P-SIGNAL-001,physicochemical_features,logistic_regression,0.500000,207,544,2146,62,0.275632,0.769517,0.797770,0.405882,0.783643,0.374744,0.253802
P-SIGNAL-001,physicochemical_features,logistic_regression,0.510000,206,528,2162,63,0.280654,0.765799,0.803717,0.410768,0.784758,0.379093,0.248057
P-SIGNAL-001,physicochemical_features,logistic_regression,0.520000,200,505,2185,69,0.283688,0.743494,0.812268,0.410678,0.777881,0.375033,0.238256
P-SIGNAL-001,physicochemical_features,logistic_regression,0.530000,197,484,2206,72,0.289280,0.732342,0.820074,0.414737,0.776208,0.377284,0.230145
P-SIGNAL-001,physicochemical_features,logistic_regression,0.540000,193,463,2227,76,0.294207,0.717472,0.827881,0.417297,0.772677,0.377425,0.221697
P-SIGNAL-001,physicochemical_features,logistic_regression,0.550000,193,441,2249,76,0.304416,0.717472,0.836059,0.427464,0.776766,0.387827,0.214262
P-SIGNAL-001,physicochemical_features,logistic_regression,0.560000,186,424,2266,83,0.304918,0.691450,0.842379,0.423208,0.766914,0.379357,0.206151
P-SIGNAL-001,physicochemical_features,logistic_regression,0.570000,185,407,2283,84,0.312500,0.687732,0.848699,0.429733,0.768216,0.385484,0.200068
P-SIGNAL-001,physicochemical_features,logistic_regression,0.580000,182,391,2299,87,0.317627,0.676580,0.854647,0.432304,0.765613,0.386473,0.193647
P-SIGNAL-001,physicochemical_features,logistic_regression,0.590000,177,376,2314,92,0.320072,0.657993,0.860223,0.430657,0.759108,0.382166,0.186887
P-SIGNAL-001,physicochemical_features,logistic_regression,0.600000,175,348,2342,94,0.334608,0.650558,0.870632,0.441919,0.760595,0.392788,0.176749
P-SIGNAL-001,physicochemical_features,logistic_regression,0.610000,169,332,2358,100,0.337325,0.628253,0.876580,0.438961,0.752416,0.386981,0.169314
P-SIGNAL-001,physicochemical_features,logistic_regression,0.620000,167,320,2370,102,0.342916,0.620818,0.881041,0.441799,0.750929,0.389086,0.164583
P-SIGNAL-001,physicochemical_features,logistic_regression,0.630000,164,309,2381,105,0.346723,0.609665,0.885130,0.442049,0.747398,0.388148,0.159851
P-SIGNAL-001,physicochemical_features,logistic_regression,0.640000,162,295,2395,107,0.354486,0.602230,0.890335,0.446281,0.746283,0.391845,0.154444
P-SIGNAL-001,physicochemical_features,logistic_regression,0.650000,161,279,2411,108,0.365909,0.598513,0.896283,0.454161,0.747398,0.399795,0.148699
P-SIGNAL-001,physicochemical_features,logistic_regression,0.660000,157,263,2427,112,0.373810,0.583643,0.902230,0.455733,0.742937,0.400239,0.141940
P-SIGNAL-001,physicochemical_features,logistic_regression,0.670000,155,247,2443,114,0.385572,0.576208,0.908178,0.461997,0.742193,0.406412,0.135857
P-SIGNAL-001,physicochemical_features,logistic_regression,0.680000,155,237,2453,114,0.395408,0.576208,0.911896,0.468986,0.744052,0.413913,0.132477
P-SIGNAL-001,physicochemical_features,logistic_regression,0.690000,153,219,2471,116,0.411290,0.568773,0.918587,0.477379,0.743680,0.422603,0.125718
P-SIGNAL-001,physicochemical_features,logistic_regression,0.700000,152,203,2487,117,0.428169,0.565056,0.924535,0.487179,0.744796,0.433163,0.119973
P-SIGNAL-001,physicochemical_features,logistic_regression,0.710000,146,185,2505,123,0.441088,0.542751,0.931227,0.486667,0.736989,0.432298,0.111862
P-SIGNAL-001,physicochemical_features,logistic_regression,0.720000,143,174,2516,126,0.451104,0.531599,0.935316,0.488055,0.733457,0.434004,0.107131
P-SIGNAL-001,physicochemical_features,logistic_regression,0.730000,136,160,2530,133,0.459459,0.505576,0.940520,0.481416,0.723048,0.427415,0.100034
P-SIGNAL-001,physicochemical_features,logistic_regression,0.740000,130,152,2538,139,0.460993,0.483271,0.943494,0.471869,0.713383,0.417824,0.095302
P-SIGNAL-001,physicochemical_features,logistic_regression,0.750000,126,144,2546,143,0.466667,0.468401,0.946468,0.467532,0.707435,0.414178,0.091247
P-SIGNAL-001,physicochemical_features,logistic_regression,0.760000,125,132,2558,144,0.486381,0.464684,0.950929,0.475285,0.707807,0.424260,0.086854
P-SIGNAL-001,physicochemical_features,logistic_regression,0.770000,119,117,2573,150,0.504237,0.442379,0.956506,0.471287,0.699442,0.423272,0.079757
P-SIGNAL-001,physicochemical_features,logistic_regression,0.780000,118,109,2581,151,0.519824,0.438662,0.959480,0.475806,0.699071,0.430067,0.076715
P-SIGNAL-001,physicochemical_features,logistic_regression,0.790000,113,99,2591,156,0.533019,0.420074,0.963197,0.469854,0.691636,0.427230,0.071646
P-SIGNAL-001,physicochemical_features,logistic_regression,0.800000,107,88,2602,162,0.548718,0.397770,0.967286,0.461207,0.682528,0.422985,0.065901
P-SIGNAL-001,physicochemical_features,logistic_regression,0.810000,101,80,2610,168,0.558011,0.375465,0.970260,0.448889,0.672862,0.414742,0.061169
P-SIGNAL-001,physicochemical_features,logistic_regression,0.820000,97,66,2624,172,0.595092,0.360595,0.975465,0.449074,0.668030,0.423454,0.055086
P-SIGNAL-001,physicochemical_features,logistic_regression,0.830000,92,56,2634,177,0.621622,0.342007,0.979182,0.441247,0.660595,0.423597,0.050017
P-SIGNAL-001,physicochemical_features,logistic_regression,0.840000,86,48,2642,183,0.641791,0.319703,0.982156,0.426799,0.650929,0.417344,0.045286
P-SIGNAL-001,physicochemical_features,logistic_regression,0.850000,85,44,2646,184,0.658915,0.315985,0.983643,0.427136,0.649814,0.421839,0.043596
